rya,0,"(54.609542000000012, 39.712586000000002)"
sin,9,"(23.236111000000001, -106.415278)"
fr,2,"(41.639600999999999, 13.342634)"
fs,1,"(-28.233332999999998, 28.300000000000001)"
lag,2,"(11.544167, -72.906943999999996)"
fe,5,"(44.838124000000001, 11.619787000000001)"
mag,17,"(11.006944000000001, -74.25)"
fg,7,"(41.706590000000013, 15.729179)"
fi,33,"(43.771033000000003, 11.248001)"
fl,7180,"(27.950575000000001, -82.457177999999999)"
man,144,"(14.554729, 121.024445)"
a,302,"(48.583148000000001, 7.7478820000000015)"
sz,1,"(47.019835, 8.647397999999999)"
ss,17,"(-2.9909340000000002, 104.756557)"
sr,2,"(37.075474, 15.286585999999998)"
sp,139,"(-23.956130000000002, -46.326409000000012)"
sv,1,"(44.297559999999997, 8.4644999999999992)"
su,1,"(3.585242, 98.675597999999994)"
st,32,"(52.130806999999997, 11.628878)"
q,13,"(-40.155090000000001, -71.354194999999976)"
si,0,"(43.318809000000002, 11.330757)"
sh,158,"(54.072943000000002, 9.9840160000000004)"
so,4,"(47.349997999999999, 7.9023990000000008)"
sn,116,"(51.050409000000002, 13.737261999999999)"
sm,0,"(47.683967000000003, 22.466868999999999)"
sl,90,"(50.811819, 19.120308999999999)"
sc,1281,"(33.402647999999999, -81.420106000000004)"
sa,1495,"(-34.928621, 138.59995900000001)"
sg,63,"(47.473801999999999, 9.4927810000000008)"
sd,159,"(45.464697999999999, -98.486483000000007)"
24,2,"(34.965156999999998, 136.62448500000002)"
25,11,"(56.950000000000003, 24.100000000000001)"
ld,3,"(51.759247999999999, 19.455983)"
27,13,"(34.693738000000003, 135.50216499999999)"
20,26,"(13.361072999999999, 100.984719)"
21,39,"(45.813029, 15.977895000000002)"
22,2,"(39.555300000000003, 21.767499999999998)"
la,3101,"(29.951066000000001, -90.071531999999976)"
lo,20,"(42.462719, -2.444985)"
ll,2,"(-41.316699999999997, -72.9833)"
28,6,"(33.888628999999995, 35.495479000000003)"
29,23,"(40.189, -3.6757)"
lh,4,"(53.717856000000012, -6.3560980000000002)"
li,7,"(51.192442, 5.9946950000000001)"
lt,5,"(41.467567000000003, 12.903596)"
lu,21,"(43.865727, 10.25131)"
ls,12,"(53.032812, -7.298792999999999)"
h3,1,"(53.799999999999997, -1.5832999999999999)"
ceb,79,"(10.315699, 123.885437)"
yo,2,"(-7.7972240000000008, 110.368797)"
025,10,"(55.661569999999998, 11.408365)"
ces,18,"(10.46668, -73.251258999999976)"
das,3,"(7.1907079999999999, 125.455341)"
yt,1,"(60.721187, -135.05684499999998)"
l,6,"(-36.620767999999998, -64.290062000000006)"
l8,0,"(46.392800000000001, 15.574400000000001)"
en,1,"(37.784790999999998, 14.600072000000001)"
ec,0,"(-33.932639999999999, 25.569949999999999)"
ex,34,"(38.880139, -6.9701660000000007)"
82,0,"(-1.2920659999999999, 36.821945999999997)"
80,0,"(8.4229039999999991, 99.968863999999996)"
81,2,"(23.709921000000001, 90.407143000000005)"
87,0,"(21.033332999999999, 105.84999999999999)"
